2026-06-30 19:29:08,903 | stock_validator      | INFO     | stock_validator:_prepare_china_stock_data_async:613 | 🚀 [A股数据-异步] 优先尝试 API 直接获取: 002281
2026-06-30 19:29:11,722 | agents               | INFO     | interface:get_china_stock_info_unified:1648 | 📊 [统一接口] 获取002281基本信息...
2026-06-30 19:29:11,725 | tradingagents.config | INFO     | runtime_settings:use_app_cache_enabled:173 | [runtime_settings] TA_USE_APP_CACHE evaluated -> True (source=env, env=true)
2026-06-30 19:29:11,726 | dataflows            | WARNING  | data_source_manager:_check_available_sources:492 | ⚠️ [数据源配置] 从数据库读取失败: No module named 'motor'，将检查所有已安装的数据源
2026-06-30 19:29:11,727 | tradingagents.config | INFO     | runtime_settings:use_app_cache_enabled:173 | [runtime_settings] TA_USE_APP_CACHE evaluated -> True (source=env, env=true)
2026-06-30 19:29:11,759 | tradingagents.config.database_manager | INFO     | database_manager:_load_env_config:76 | MongoDB启用: False
2026-06-30 19:29:11,759 | tradingagents.config.database_manager | INFO     | database_manager:_load_env_config:77 | Redis启用: False
2026-06-30 19:29:11,759 | tradingagents.config.database_manager | INFO     | database_manager:_detect_databases:161 | 开始检测数据库可用性...
2026-06-30 19:29:11,759 | tradingagents.config.database_manager | INFO     | database_manager:_detect_databases:170 | ❌ MongoDB: MongoDB未启用 (MONGODB_ENABLED=false)
2026-06-30 19:29:11,761 | tradingagents.config.database_manager | INFO     | database_manager:_detect_databases:179 | ❌ Redis: Redis未启用 (REDIS_ENABLED=false)
2026-06-30 19:29:11,762 | tradingagents.config.database_manager | INFO     | database_manager:_update_config_based_on_detection:194 | 主要缓存后端: file
2026-06-30 19:29:11,762 | tradingagents.config.database_manager | INFO     | database_manager:__init__:34 | 数据库管理器初始化完成 - MongoDB: False, Redis: False
2026-06-30 19:29:11,762 | agents               | WARNING  | mongodb_cache_adapter:_init_mongodb_connection:41 | ⚠️ MongoDB客户端不可用，回退到传统模式
2026-06-30 19:29:11,763 | agents               | INFO     | mongodb_cache_adapter:__init__:28 | 🔄 MongoDB缓存适配器已启用 - 优先使用MongoDB数据
2026-06-30 19:29:11,764 | dataflows            | WARNING  | data_source_manager:_check_available_sources:505 | ⚠️ MongoDB数据源不可用: 数据库未连接
2026-06-30 19:29:11,765 | dataflows            | WARNING  | data_source_manager:_get_datasource_configs_from_db:584 | ⚠️ 从数据库读取数据源配置失败: No module named 'motor'
2026-06-30 19:29:11,766 | dataflows            | INFO     | data_source_manager:_check_available_sources:523 | ✅ Tushare数据源可用且已启用 (API Key来源: 环境变量)
2026-06-30 19:29:12,500 | dataflows            | INFO     | data_source_manager:_check_available_sources:536 | ✅ AKShare数据源可用且已启用
2026-06-30 19:29:12,520 | dataflows            | INFO     | data_source_manager:_check_available_sources:547 | ✅ BaoStock数据源可用且已启用
2026-06-30 19:29:12,521 | agents               | INFO     | file_cache:__init__:95 | 📁 缓存管理器初始化完成，缓存目录: D:\Workspace\03 项目\04 重大项目\01 大模型\量化交易\AresStock\tradingagents\tradingagents\dataflows\cache\data_cache
2026-06-30 19:29:12,523 | agents               | INFO     | file_cache:__init__:96 | 🗄️ 数据库缓存管理器初始化完成
2026-06-30 19:29:12,523 | agents               | INFO     | file_cache:__init__:97 |    美股数据: ✅ 已配置
2026-06-30 19:29:12,524 | agents               | INFO     | file_cache:__init__:98 |    A股数据: ✅ 已配置
2026-06-30 19:29:12,525 | tradingagents.dataflows.cache.adaptive | INFO     | adaptive:__init__:43 | 自适应缓存系统初始化 - 主要后端: file
2026-06-30 19:29:12,525 | dataflows            | INFO     | integrated:__init__:48 | ✅ 自适应缓存系统已启用
2026-06-30 19:29:12,526 | dataflows            | INFO     | integrated:_log_cache_status:65 | 📊 缓存配置:
2026-06-30 19:29:12,526 | dataflows            | INFO     | integrated:_log_cache_status:66 |   主要后端: file
2026-06-30 19:29:12,526 | dataflows            | INFO     | integrated:_log_cache_status:67 |   MongoDB: ❌ 不可用
2026-06-30 19:29:12,527 | dataflows            | INFO     | integrated:_log_cache_status:68 |   Redis: ❌ 不可用
